explo;Useful_PlotID;Qnum;month;year;date_releves;UAV;m;HHLAI;Biomass_g_per60cm2;Biomass_interpolated;Grass;Forb;Leg;Bare;Litter;Moss;Sen;Morib;Dung;Shrub;Green;Grass_h;Forb_h;Leg_h;RPMcalc_cm;Comments quadrat;Comments plot;LUI_2015_2018;x;y;elevation;slope;soil;grazing;mowing;fertilizer;LUI_2020
A;AEG05;AEG05_07;J;2020;16.06.2020;Parrot;33;4,57;;102,74814;54;30;;1;10;;3;2;;;84;66;34;;29,8;;;1,92;532511;5359895;717,79;2,79;Rendzina;1,27;0,54;0,91;1,65
A;AEG05;AEG05_08;J;2020;16.06.2020;Parrot;37,5;3,38;;101,38342;40;21;4;18;11;;;6;;;65;55;25;21;29,4;;;1,92;532511;5359895;717,79;2,79;Rendzina;1,27;0,54;0,91;1,65
A;AEG05;AEG05_09;J;2020;16.06.2020;Parrot;42;3,52;79,76;79,76;45;35;2;;11;1;1;5;;;82;60;25;12;24,4;;;1,92;532511;5359895;717,79;2,79;Rendzina;1,27;0,54;0,91;1,65
A;AEG05;AEG05_10;J;2020;16.06.2020;Parrot;46;4,23;;118,44242;47;40;1;;6;;;6;;;88;70;44;12;34,4;;;1,92;532511;5359895;717,79;2,79;Rendzina;1,27;0,54;0,91;1,65
A;AEG06;AEG06_01;J;2020;16.06.2020;Parrot;6;2,72;;74,08902;48;10;10;10;7;;15;;;;68;30;20;10;21,4;;lower right gcp is too to the north;1,89;532691;5358196;711,07;7,22;Rendzina;0,73;1,08;1,77;1,89
A;AEG06;AEG06_02;J;2020;16.06.2020;Parrot;10,5;3,65;85;85;39;30;1;15;5;;10;;;;70;33;33;12;18,8;;we start counting backwards from upper right;1,89;532691;5358196;711,07;7,22;Rendzina;0,73;1,08;1,77;1,89
A;AEG06;AEG06_03;J;2020;16.06.2020;Parrot;15;3,02;;89,7833;40;26;1;15;3;;15;;;;67;32;20;5;26;;recently rained;1,89;532691;5358196;711,07;7,22;Rendzina;0,73;1,08;1,77;1,89
A;AEG06;AEG06_04;J;2020;16.06.2020;Parrot;19,5;3,02;;89,10094;43;25;;10;1,9;;20;0,1;;;68;32;20;;25,8;;slope ns 2%;1,89;532691;5358196;711,07;7,22;Rendzina;0,73;1,08;1,77;1,89
A;AEG06;AEG06_05;J;2020;16.06.2020;Parrot;24;2,53;77,9;77,9;44;22;1;15;2,9;;15;0,1;;;67;30;17;9;24,2;;;1,89;532691;5358196;711,07;7,22;Rendzina;0,73;1,08;1,77;1,89
A;AEG06;AEG06_06;J;2020;16.06.2020;Parrot;28,5;3,25;;109,57174;16;18;3;15;3;;45;;;;37;57;26;13;31,8;;;1,89;532691;5358196;711,07;7,22;Rendzina;0,73;1,08;1,77;1,89
A;AEG06;AEG06_07;J;2020;16.06.2020;Parrot;33;3,64;;99,33634;40;20;8;5;2;;20;5;;;68;57;17;16;28,8;;;1,89;532691;5358196;711,07;7,22;Rendzina;0,73;1,08;1,77;1,89
A;AEG06;AEG06_08;J;2020;16.06.2020;Parrot;37,5;4,3;;108,88938;24;50;5;10;3;;6;2;;;79;52;25;16;31,6;;;1,89;532691;5358196;711,07;7,22;Rendzina;0,73;1,08;1,77;1,89
A;AEG06;AEG06_09;J;2020;16.06.2020;Parrot;42;4,02;98,51;98,51;22;55;5;6;5;;5;2;;;82;50;30;17;27,4;;;1,89;532691;5358196;711,07;7,22;Rendzina;0,73;1,08;1,77;1,89
A;AEG06;AEG06_10;J;2020;16.06.2020;Parrot;46;3,9;;92,51274;54;30;;5;3;;5;3;;;84;44;22;;26,8;;;1,89;532691;5358196;711,07;7,22;Rendzina;0,73;1,08;1,77;1,89
A;AEG07;AEG07_01;J;2020;17.06.2020;Parrot;6;0,35;;20,18258;15;13;3;1;3;50;;15;;;31;20;10;9;5,6;;North GCPs are 10 cm north from corners;0,68;527898;5370556;794,66;10,23;Rendzina;0,67;0;0;0,82
A;AEG07;AEG07_02;J;2020;17.06.2020;Parrot;10,5;0,88;31,54333333;31,54333333;30;27;5;;3;20;;15;;;62;30;10;3;9,8;;South GCPs are 10 cm south from corners;0,68;527898;5370556;794,66;10,23;Rendzina;0,67;0;0;0,82
A;AEG07;AEG07_03;J;2020;17.06.2020;Parrot;15;1,36;;46,79462;41;20;4;2;3;15;;15;;;65;80;6;5;13,4;Ant hive;~10% slope;0,68;527898;5370556;794,66;10,23;Rendzina;0,67;0;0;0,82
A;AEG07;AEG07_04;J;2020;17.06.2020;Parrot;19,5;0,45;;25,64146;37;14;6;7;5;10;;20;1;;57;10;6;6;7,2;;short grass;0,68;527898;5370556;794,66;10,23;Rendzina;0,67;0;0;0,82
A;AEG07;AEG07_05;J;2020;17.06.2020;Parrot;24;1,06;52,66;52,66;40;20;5;1;5;6;3;20;;;65;50;4;6;15,2;Ant hive;quadrats on western side;0,68;527898;5370556;794,66;10,23;Rendzina;0,67;0;0;0,82
A;AEG07;AEG07_06;J;2020;17.06.2020;Parrot;28,5;1,05;;35,87686;24;41;2;;5;3;;25;;;67;26;6;9;10,2;;measurement tape 20 cm short because of slope;0,68;527898;5370556;794,66;10,23;Rendzina;0,67;0;0;0,82
A;AEG07;AEG07_07;J;2020;17.06.2020;Parrot;33;0,73;;32,46506;21;37;1;;5;8;;25;;3;62;13;8;3;9,2;3 shrub;"Mind Q9 it shoud be further from upper left corner""";0,68;527898;5370556;794,66;10,23;Rendzina;0,67;0;0;0,82
A;AEG07;AEG07_08;J;2020;17.06.2020;Parrot;37,5;0,4;;26,32382;33,9;30;0,1;1;6;4;;25;;;64;18;7;6;7,4;;;0,68;527898;5370556;794,66;10,23;Rendzina;0,67;0;0;0,82
A;AEG07;AEG07_09;J;2020;17.06.2020;Parrot;42;0,21;16,7;16,7;18;40;2;5;5;10;;20;;;60;9;5;5;5,8;;;0,68;527898;5370556;794,66;10,23;Rendzina;0,67;0;0;0,82
A;AEG07;AEG07_10;J;2020;17.06.2020;Parrot;46;0;;9,94718;30;29;3;10;6;5;;17;;;62;9;2;5;2,6;;;0,68;527898;5370556;794,66;10,23;Rendzina;0,67;0;0;0,82
A;AEG08;AEG08_01;J;2020;15.06.2020;Parrot;6;1,21;;39,97102;57;12;;2;8;4;6;9;2;;69;14;6;;11,4;;mown two weeks ago;1,19;536409;5361079;760,28;3,74;Rendzina;0,17;1,62;0;1,34
A;AEG08;AEG08_02;J;2020;15.06.2020;Parrot;10,5;0,59;37,97;37,97;43,8;15;0,2;0,1;14,9;10;;15;1;;59;15;5;5;10,2;;;1,19;536409;5361079;760,28;3,74;Rendzina;0,17;1,62;0;1,34
A;AEG08;AEG08_03;J;2020;15.06.2020;Parrot;15;0,42;;45,4299;46;12;2;;18;6;6;10;;;60;12;7;5;13;;;1,19;536409;5361079;760,28;3,74;Rendzina;0,17;1,62;0;1,34
A;AEG08;AEG08_04;J;2020;15.06.2020;Parrot;19,5;0,47;;33,82978;42;20;1;1;14;1;6;15;;;63;9;7;4;9,6;;;1,19;536409;5361079;760,28;3,74;Rendzina;0,17;1,62;0;1,34
A;AEG08;AEG08_05;J;2020;15.06.2020;Parrot;24;0,63;27,24;27,24;36;28;6;7;7;3;4;9;;;70;9;9;7;12;;;1,19;536409;5361079;760,28;3,74;Rendzina;0,17;1,62;0;1,34
A;AEG08;AEG08_06;J;2020;15.06.2020;Parrot;28,5;0,75;;32,46506;51;20;3;0,1;11,9;5;2;7;;;74;10;5;4;9,2;;;1,19;536409;5361079;760,28;3,74;Rendzina;0,17;1,62;0;1,34
A;AEG08;AEG08_07;J;2020;15.06.2020;Parrot;33;0,28;;32,46506;41;24;2;2;12;9;2;8;;;67;9;4;5;9,2;;;1,19;536409;5361079;760,28;3,74;Rendzina;0,17;1,62;0;1,34
A;AEG08;AEG08_08;J;2020;15.06.2020;Parrot;37,5;0,54;;33,14742;50;15;8;2;8;10;;7;;;73;10;5;5;9,4;;;1,19;536409;5361079;760,28;3,74;Rendzina;0,17;1,62;0;1,34
A;AEG08;AEG08_09;J;2020;15.06.2020;Parrot;42;0,39;17,76;17,76;41;29;2;1;7;10;2;8;;;72;9;5;3;9,2;;;1,19;536409;5361079;760,28;3,74;Rendzina;0,17;1,62;0;1,34
A;AEG08;AEG08_10;J;2020;15.06.2020;Parrot;46;0,38;;29,73562;42;20;1;6;15;1;;15;;;63;50;5;5;8,4;;;1,19;536409;5361079;760,28;3,74;Rendzina;0,17;1,62;0;1,34
A;AEG09;AEG09_01;J;2020;18.06.2020;Parrot;6,05;0,84;;40,65338;45,9;20;0,1;;3;15;;16;;;66;17;4;2;11,6;;grazed;0,95;537218;5360815;742,5;13,33;Rendzina;0,65;0;0;0,81
A;AEG09;AEG09_02;J;2020;18.06.2020;Parrot;10,6;0,72;10,53333333;10,53333333;24;35;6;4;4;10;2;15;;;65;12;9;2;9,8;rock;sheep;0,95;537218;5360815;742,5;13,33;Rendzina;0,65;0;0;0,81
A;AEG09;AEG09_03;J;2020;18.06.2020;Parrot;15,15;0,99;;26,32382;34;30;4;9;4;4;0,1;14,9;;;68;11;7;2;7,4;rock;steep slope;0,95;537218;5360815;742,5;13,33;Rendzina;0,65;0;0;0,81
A;AEG09;AEG09_04;J;2020;18.06.2020;Parrot;19,7;0,57;;28,3709;40;27;3;1;6;7;;16;;;70;11;6;2;8;;Quadrats were place at +5 cm from their original position to compensate partially for the slope;0,95;537218;5360815;742,5;13,33;Rendzina;0,65;0;0;0,81
A;AEG09;AEG09_05;J;2020;18.06.2020;Parrot;24,25;1,44;18,02333333;18,02333333;46;32;3;0,1;1;1;2;14,9;;;81;16;6;8;10,8;;;0,95;537218;5360815;742,5;13,33;Rendzina;0,65;0;0;0,81
A;AEG09;AEG09_06;J;2020;18.06.2020;Parrot;28,8;0,32;;34,51214;35;43;1;2;0,1;1;;17,9;;;79;14;3;3;9,8;;Drone image looks grey;0,95;537218;5360815;742,5;13,33;Rendzina;0,65;0;0;0,81
A;AEG09;AEG09_07;J;2020;18.06.2020;Parrot;33,35;0,22;;21,5473;32;50;2;3;5;;;8;;;84;12;3;2;6;;some trees and shrubs;0,95;537218;5360815;742,5;13,33;Rendzina;0,65;0;0;0,81
A;AEG09;AEG09_08;J;2020;18.06.2020;Parrot;37,9;0,61;;30,41798;29;43;2;0,1;4;0,1;1;13,8;4;3;77;14;5;2;8,6;3 shrub;;0,95;537218;5360815;742,5;13,33;Rendzina;0,65;0;0;0,81
A;AEG09;AEG09_09;J;2020;18.06.2020;Parrot;42,45;0,6;9,843333333;9,843333333;33;41;1;7;3;;;15;;;75;10;7;2;6,2;;;0,95;537218;5360815;742,5;13,33;Rendzina;0,65;0;0;0,81
A;AEG09;AEG09_10;J;2020;18.06.2020;Parrot;47;0,31;;20,86494;32;39,9;0,1;13;5;;;10;;;72;6;3;1;5,8;;;0,95;537218;5360815;742,5;13,33;Rendzina;0,65;0;0;0,81
A;AEG22;AEG22_01;J;2020;19.06.2020;Parrot;6;0,55;;41,33574;32;35;2;4;2;5;;20;;;69;13;8;5;11,8;;overcast when flown;1,38;537996;5369790;796,64;8,47;Rendzina;0;1,62;0,64;1,51
A;AEG22;AEG22_02;J;2020;19.06.2020;Parrot;10,5;1,37;25,00333333;25,00333333;34;32;1;3;3;1;;26;;;67;18;13;18;12,6;;;1,38;537996;5369790;796,64;8,47;Rendzina;0;1,62;0,64;1,51
A;AEG22;AEG22_03;J;2020;19.06.2020;Parrot;15;1,43;;29,73562;35;40;1;2;1;1;;20;;;76;15;13;5;8,4;;;1,38;537996;5369790;796,64;8,47;Rendzina;0;1,62;0,64;1,51
A;AEG22;AEG22_04;J;2020;19.06.2020;Parrot;19,5;1,09;;26,32382;32;25;3;4;1;19;;16;;;60;14;8;5;7,4;;;1,38;537996;5369790;796,64;8,47;Rendzina;0;1,62;0,64;1,51
A;AEG22;AEG22_05;J;2020;19.06.2020;Parrot;24;1,58;15,44333333;15,44333333;20;29,9;0,1;3;2;30;;15;;;50;12;9;4;7,4;;;1,38;537996;5369790;796,64;8,47;Rendzina;0;1,62;0,64;1,51
A;AEG22;AEG22_06;J;2020;19.06.2020;Parrot;28,5;0,9;;25,64146;15;25;4;1;1;27;;27;;;44;18;16;11;7,2;;;1,38;537996;5369790;796,64;8,47;Rendzina;0;1,62;0,64;1,51
A;AEG22;AEG22_07;J;2020;19.06.2020;Parrot;33;1,92;;35,1945;6;75;;1;2;6;;10;;;81;20;12;;10;;;1,38;537996;5369790;796,64;8,47;Rendzina;0;1,62;0,64;1,51
A;AEG22;AEG22_08;J;2020;19.06.2020;Parrot;37,5;1,23;;34,51214;21;49,9;0,1;4;1;7;;17;;;71;15;15;6;9,8;;;1,38;537996;5369790;796,64;8,47;Rendzina;0;1,62;0,64;1,51
A;AEG22;AEG22_09;J;2020;19.06.2020;Parrot;42;2,19;18,01333333;18,01333333;35;39,9;0,1;2;1;5;;17;;;75;10;10;8;10,2;;;1,38;537996;5369790;796,64;8,47;Rendzina;0;1,62;0,64;1,51
A;AEG22;AEG22_10;J;2020;19.06.2020;Parrot;46;0,78;;33,82978;30;19,9;0,1;1;;6;;43;;;50;10;7;4;9,6;;;1,38;537996;5369790;796,64;8,47;Rendzina;0;1,62;0,64;1,51
H;HEG01;HEG01_01;J;2020;11.06.2020;eBee;6;1,23;;43,38282;78;10;;2;8;;;2;;;88;15;12;;12,4;;Very intensive management;3,13;598672;5680264;291,52;5,11;Parabraunerde;0,63;2,17;7,4;3,19
H;HEG01;HEG01_02;J;2020;11.06.2020;eBee;10,5;0,93;20,98;20,98;60,8;15;0,2;4;15;;;5;;;76;21;13;;11,2;Ants;Fertilization effects visible;3,13;598672;5680264;291,52;5,11;Parabraunerde;0,63;2,17;7,4;3,19
H;HEG01;HEG01_03;J;2020;11.06.2020;eBee;15;1,42;;50,88878;60,9;22;0,1;3;5;;0,1;8,9;;;83;22;12;6;14,6;;Recently mown;3,13;598672;5680264;291,52;5,11;Parabraunerde;0,63;2,17;7,4;3,19
H;HEG01;HEG01_04;J;2020;11.06.2020;eBee;19,5;1,56;;57,71238;65,8;13;0,2;2;12;;0,1;6,9;;;79;22;13;5;16,6;;;3,13;598672;5680264;291,52;5,11;Parabraunerde;0,63;2,17;7,4;3,19
H;HEG01;HEG01_05;J;2020;11.06.2020;eBee;24;1,4;23,5;23,5;66;4;;5;20;;;5;;;70;15;13;;12,2;;;3,13;598672;5680264;291,52;5,11;Parabraunerde;0,63;2,17;7,4;3,19
H;HEG01;HEG01_06;J;2020;11.06.2020;eBee;28,5;1,1;;44,06518;79;2;;4;12;;;2;1;;81;15;8;;12,6;Artificial dung;;3,13;598672;5680264;291,52;5,11;Parabraunerde;0,63;2,17;7,4;3,19
H;HEG01;HEG01_07;J;2020;11.06.2020;eBee;33;1,31;;44,74754;77;1;;3;14;;;5;;;78;16;12;;12,8;Artificial dung;;3,13;598672;5680264;291,52;5,11;Parabraunerde;0,63;2,17;7,4;3,19
H;HEG01;HEG01_08;J;2020;11.06.2020;eBee;37,5;1,39;;46,79462;76;5;;3;8;;;8;;;81;15;14;;13,4;;;3,13;598672;5680264;291,52;5,11;Parabraunerde;0,63;2,17;7,4;3,19
H;HEG01;HEG01_09;J;2020;11.06.2020;eBee;42;1,28;26,47;26,47;76;3;;3;9;;;9;;;79;16;6;;12,6;;;3,13;598672;5680264;291,52;5,11;Parabraunerde;0,63;2,17;7,4;3,19
H;HEG01;HEG01_10;J;2020;11.06.2020;eBee;46;1,34;;36,55922;69;3;;1;12;;;15;;;72;12;7;;10,4;;;3,13;598672;5680264;291,52;5,11;Parabraunerde;0,63;2,17;7,4;3,19
H;HEG02;HEG02_01;J;2020;11.06.2020;eBee;6;1,67;;42,0181;12;58;;3;15;;;12;;;70;32;12;;12;;Resawn;2,47;600339;5650590;287,58;4,33;Pseudogley;0,3;1,08;1,95;1,83
H;HEG02;HEG02_02;J;2020;11.06.2020;eBee;10,5;1,75;38,51;38,51;15;60;;4;8;;3;10;;;75;46;14;;13;;Extensively managed;2,47;600339;5650590;287,58;4,33;Pseudogley;0,3;1,08;1,95;1,83
